eBird species code 2019,English name,scientific name,range,eBird species group
mccfly1,McConnell's Flycatcher,Mionectes macconnelli,,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
mccfly2,McConnell's Flycatcher (Guianan),Mionectes macconnelli macconnelli,"eastern Venezuela east to the Guianas and northeastern Brazil, north of the Amazon; it is not clear whether populations of central eastern Brazil south of the Amazon refer to amazonas (as these historically have been identified), or to the geographically adjacent nominate macconnelli","Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
mccfly3,McConnell's Flycatcher (Sierra de Lema),Mionectes macconnelli roraimae,Tepuis of s Venezuela and Guyana,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
mccfly4,McConnell's Flycatcher (Inambari),Mionectes macconnelli amazonus/peruanus,,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
mcclon,McCown's Longspur,Rhynchophanes mccownii,Breeds w Canada to nw US; > to nw Mexico,Longspurs and Snow Buntings
mccspi1,McConnell's Spinetail,Synallaxis macconnelli,"Tepuis of s Venezuela, adjacent Brazil, Guyana and Suriname",Ovenbirds
mcfdov1,Many-colored Fruit-Dove,Ptilinopus perousii,,Pigeons and Doves
mcgcus1,McGregor's Cuckooshrike,Malindangia mcgregori,Mts. of Mindanao (s Philippines),Cuckooshrikes
mcgdov1,Maroon-chested Ground Dove,Paraclaravis mondetoura,,Pigeons and Doves
mckbun,McKay's Bunting,Plectrophenax hyperboreus,Islands in Bering Sea; > coastal Alaska and Aleutian Islands,Longspurs and Snow Buntings
mcptit1,Mouse-colored Penduline-Tit,Anthoscopus musculus,Thornscrub of Ethiopia and Somalia to extreme n Tanzania,Penduline-Tits and Verdin
mcrtyr1,Many-colored Rush Tyrant,Tachuris rubrigastra,,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
mdcsun1,Montane Double-collared Sunbird (Western),Cinnyris ludovicensis ludovicensis,Montane forests of w Angola,Sunbirds and Spiderhunters
mdcsun2,Montane Double-collared Sunbird (Eastern),Cinnyris ludovicensis whytei,Montane forests of ne Zambia and w Malawi (Nyika Plateau),Sunbirds and Spiderhunters
